
Char	Dec	Hex	Name
🅰	127344	1F170	
🅱	127345	1F171	
🅾	127358	1F17E	
🅿	127359	1F17F	
🆎	127374	1F18E	
🆑	127377	1F191	
🆒	127378	1F192	
🆓	127379	1F193	
🆔	127380	1F194	
🆕	127381	1F195	
🆖	127382	1F196	
🆗	127383	1F197	
🆘	127384	1F198	
🆙	127385	1F199	
🆚	127386	1F19A	
🈁	127489	1F201	
🈂	127490	1F202	
🈚	127514	1F21A	
🈯	127535	1F22F	
🈲	127538	1F232	
🈳	127539	1F233	
🈴	127540	1F234	
🈵	127541	1F235	
🈶	127542	1F236	
🈷	127543	1F237	
🈸	127544	1F238	
🈹	127545	1F239	
🈺	127546	1F23A	
🉐	127568	1F250	
🉑	127569	1F251	
🌀	127744	1F300	
🌁	127745	1F301	
🌂	127746	1F302	
🌃	127747	1F303	
🌄	127748	1F304	
🌅	127749	1F305	
🌆	127750	1F306	
🌇	127751	1F307	
🌈	127752	1F308	
🌉	127753	1F309	
🌊	127754	1F30A	
🌋	127755	1F30B	
🌌	127756	1F30C	
🌍	127757	1F30D	
🌎	127758	1F30E	
🌏	127759	1F30F	
🌐	127760	1F310	
🌑	127761	1F311	
🌒	127762	1F312	
🌓	127763	1F313	
🌔	127764	1F314	
🌕	127765	1F315	
🌖	127766	1F316	
🌗	127767	1F317	
🌘	127768	1F318	
🌙	127769	1F319	
🌚	127770	1F31A	
🌛	127771	1F31B	
🌜	127772	1F31C	
🌝	127773	1F31D	
🌞	127774	1F31E	
🌟	127775	1F31F	
🌠	127776	1F320	
🌡	127777	1F321	
🌤	127780	1F324	
🌥	127781	1F325	
🌦	127782	1F326	
🌧	127783	1F327	
🌨	127784	1F328	
🌩	127785	1F329	
🌪	127786	1F32A	
🌫	127787	1F32B	
🌬	127788	1F32C	
🌭	127789	1F32D	
🌮	127790	1F32E	
🌯	127791	1F32F	
🌰	127792	1F330	
🌱	127793	1F331	
🌲	127794	1F332	
🌳	127795	1F333	
🌴	127796	1F334	
🌵	127797	1F335	
🌶	127798	1F336	
🌷	127799	1F337	
🌸	127800	1F338	
🌹	127801	1F339	
🌺	127802	1F33A	
🌻	127803	1F33B	
🌼	127804	1F33C	
🌽	127805	1F33D	
🌾	127806	1F33E	
🌿	127807	1F33F	
🍀	127808	1F340	
🍁	127809	1F341	
🍂	127810	1F342	
🍃	127811	1F343	
🍄	127812	1F344	
🍅	127813	1F345	
🍆	127814	1F346	
🍇	127815	1F347	
🍈	127816	1F348	
🍉	127817	1F349	
🍊	127818	1F34A	
🍋	127819	1F34B	
🍌	127820	1F34C	
🍍	127821	1F34D	
🍎	127822	1F34E	
🍏	127823	1F34F	
🍐	127824	1F350	
🍑	127825	1F351	
🍒	127826	1F352	
🍓	127827	1F353	
🍔	127828	1F354	
🍕	127829	1F355	
🍖	127830	1F356	
🍗	127831	1F357	
🍘	127832	1F358	
🍙	127833	1F359	
🍚	127834	1F35A	
🍛	127835	1F35B	
🍜	127836	1F35C	
🍝	127837	1F35D	
🍞	127838	1F35E	
🍟	127839	1F35F	
🍠	127840	1F360	
🍡	127841	1F361	
🍢	127842	1F362	
🍣	127843	1F363	
🍤	127844	1F364	
🍥	127845	1F365	
🍦	127846	1F366	
🍧	127847	1F367	
🍨	127848	1F368	
🍩	127849	1F369	
🍪	127850	1F36A	
🍫	127851	1F36B	
🍬	127852	1F36C	
🍭	127853	1F36D	
🍮	127854	1F36E	
🍯	127855	1F36F	
🍰	127856	1F370	
🍱	127857	1F371	
🍲	127858	1F372	
🍳	127859	1F373	
🍴	127860	1F374	
🍵	127861	1F375	
🍶	127862	1F376	
🍷	127863	1F377	
🍸	127864	1F378	
🍹	127865	1F379	
🍺	127866	1F37A	
🍻	127867	1F37B	
🍼	127868	1F37C	
🍽	127869	1F37D	
🍾	127870	1F37E	
🍿	127871	1F37F	
🎀	127872	1F380	
🎁	127873	1F381	
🎂	127874	1F382	
🎃	127875	1F383	
🎄	127876	1F384	
🎅	127877	1F385	
🎆	127878	1F386	
🎇	127879	1F387	
🎈	127880	1F388	
🎉	127881	1F389	
🎊	127882	1F38A	
🎋	127883	1F38B	
🎌	127884	1F38C	
🎍	127885	1F38D	
🎎	127886	1F38E	
🎏	127887	1F38F	
🎐	127888	1F390	
🎑	127889	1F391	
🎒	127890	1F392	
🎓	127891	1F393	
🎖	127894	1F396	
🎗	127895	1F397	
🎙	127897	1F399	
🎚	127898	1F39A	
🎛	127899	1F39B	
🎞	127902	1F39E	
🎟	127903	1F39F	
🎠	127904	1F3A0	
🎡	127905	1F3A1	
🎢	127906	1F3A2	
🎣	127907	1F3A3	
🎤	127908	1F3A4	
🎥	127909	1F3A5	
🎦	127910	1F3A6	
🎧	127911	1F3A7	
🎨	127912	1F3A8	
🎩	127913	1F3A9	
🎪	127914	1F3AA	
🎫	127915	1F3AB	
🎬	127916	1F3AC	
🎭	127917	1F3AD	
🎮	127918	1F3AE	
🎯	127919	1F3AF	
🎰	127920	1F3B0	
🎱	127921	1F3B1	
🎲	127922	1F3B2	
🎳	127923	1F3B3	
🎴	127924	1F3B4	
🎵	127925	1F3B5	
🎶	127926	1F3B6	
🎷	127927	1F3B7	
🎸	127928	1F3B8	
🎹	127929	1F3B9	
🎺	127930	1F3BA	
🎻	127931	1F3BB	
🎼	127932	1F3BC	
🎽	127933	1F3BD	
🎾	127934	1F3BE	
🎿	127935	1F3BF	
🏀	127936	1F3C0	
🏁	127937	1F3C1	
🏂	127938	1F3C2	
🏃	127939	1F3C3	
🏄	127940	1F3C4	
🏅	127941	1F3C5	
🏆	127942	1F3C6	
🏇	127943	1F3C7	
🏈	127944	1F3C8	
🏉	127945	1F3C9	
🏊	127946	1F3CA	
🏋	127947	1F3CB	
🏌	127948	1F3CC	
🏍	127949	1F3CD	
🏎	127950	1F3CE	
🏏	127951	1F3CF	
🏐	127952	1F3D0	
🏑	127953	1F3D1	
🏒	127954	1F3D2	
🏓	127955	1F3D3	
🏔	127956	1F3D4	
🏕	127957	1F3D5	
🏖	127958	1F3D6	
🏗	127959	1F3D7	
🏘	127960	1F3D8	
🏙	127961	1F3D9	
🏚	127962	1F3DA	
🏛	127963	1F3DB	
🏜	127964	1F3DC	
🏝	127965	1F3DD	
🏞	127966	1F3DE	
🏟	127967	1F3DF	
🏠	127968	1F3E0	
🏡	127969	1F3E1	
🏢	127970	1F3E2	
🏣	127971	1F3E3	
🏤	127972	1F3E4	
🏥	127973	1F3E5	
🏦	127974	1F3E6	
🏧	127975	1F3E7	
🏨	127976	1F3E8	
🏩	127977	1F3E9	
🏪	127978	1F3EA	
🏫	127979	1F3EB	
🏬	127980	1F3EC	
🏭	127981	1F3ED	
🏮	127982	1F3EE	
🏯	127983	1F3EF	
🏰	127984	1F3F0	
🏳	127987	1F3F3	
🏴	127988	1F3F4	
🏵	127989	1F3F5	
🏷	127991	1F3F7	
🏸	127992	1F3F8	
🏹	127993	1F3F9	
🏺	127994	1F3FA	
🏻	127995	1F3FB	
🏼	127996	1F3FC	
🏽	127997	1F3FD	
🏾	127998	1F3FE	
🏿	127999	1F3FF	
🐀	128000	1F400	
🐁	128001	1F401	
🐂	128002	1F402	
🐃	128003	1F403	
🐄	128004	1F404	
🐅	128005	1F405	
🐆	128006	1F406	
🐇	128007	1F407	
🐈	128008	1F408	
🐉	128009	1F409	
🐊	128010	1F40A	
🐋	128011	1F40B	
🐌	128012	1F40C	
🐍	128013	1F40D	
🐎	128014	1F40E	
🐏	128015	1F40F	
🐐	128016	1F410	
🐑	128017	1F411	
🐒	128018	1F412	
🐓	128019	1F413	
🐔	128020	1F414	
🐕	128021	1F415	
🐖	128022	1F416	
🐗	128023	1F417	
🐘	128024	1F418	
🐙	128025	1F419	
🐚	128026	1F41A	
🐛	128027	1F41B	
🐜	128028	1F41C	
🐝	128029	1F41D	
🐞	128030	1F41E	
🐟	128031	1F41F	
🐠	128032	1F420	
🐡	128033	1F421	
🐢	128034	1F422	
🐣	128035	1F423	
🐤	128036	1F424	
🐥	128037	1F425	
🐦	128038	1F426	
🐧	128039	1F427	
🐨	128040	1F428	
🐩	128041	1F429	
🐪	128042	1F42A	
🐫	128043	1F42B	
🐬	128044	1F42C	
🐭	128045	1F42D	
🐮	128046	1F42E	
🐯	128047	1F42F	
🐰	128048	1F430	
🐱	128049	1F431	
🐲	128050	1F432	
🐳	128051	1F433	
🐴	128052	1F434	
🐵	128053	1F435	
🐶	128054	1F436	
🐷	128055	1F437	
🐸	128056	1F438	
🐹	128057	1F439	
🐺	128058	1F43A	
🐻	128059	1F43B	
🐼	128060	1F43C	
🐽	128061	1F43D	
🐾	128062	1F43E	
🐿	128063	1F43F	
👀	128064	1F440	
👁	128065	1F441	
👂	128066	1F442	
👃	128067	1F443	
👄	128068	1F444	
👅	128069	1F445	
👆	128070	1F446	
👇	128071	1F447	
👈	128072	1F448	
👉	128073	1F449	
👊	128074	1F44A	
👋	128075	1F44B	
👌	128076	1F44C	
👍	128077	1F44D	
👎	128078	1F44E	
👏	128079	1F44F	
👐	128080	1F450	
👑	128081	1F451	
👒	128082	1F452	
👓	128083	1F453	
👔	128084	1F454	
👕	128085	1F455	
👖	128086	1F456	
👗	128087	1F457	
👘	128088	1F458	
👙	128089	1F459	
👚	128090	1F45A	
👛	128091	1F45B	
👜	128092	1F45C	
👝	128093	1F45D	
👞	128094	1F45E	
👟	128095	1F45F	
👠	128096	1F460	
👡	128097	1F461	
👢	128098	1F462	
👣	128099	1F463	
👤	128100	1F464	
👥	128101	1F465	
👦	128102	1F466	
👧	128103	1F467	
👨	128104	1F468	
👩	128105	1F469	
👪	128106	1F46A	
👫	128107	1F46B	
👬	128108	1F46C	
👭	128109	1F46D	
👮	128110	1F46E	
👯	128111	1F46F	
👰	128112	1F470	
👱	128113	1F471	
👲	128114	1F472	
👳	128115	1F473	
👴	128116	1F474	
👵	128117	1F475	
👶	128118	1F476	
👷	128119	1F477	
👸	128120	1F478	
👹	128121	1F479	
👺	128122	1F47A	
👻	128123	1F47B	
👼	128124	1F47C	
👽	128125	1F47D	
👾	128126	1F47E	
👿	128127	1F47F	
💀	128128	1F480	
💁	128129	1F481	
💂	128130	1F482	
💃	128131	1F483	
💄	128132	1F484	
💅	128133	1F485	
💆	128134	1F486	
💇	128135	1F487	
💈	128136	1F488	
💉	128137	1F489	
💊	128138	1F48A	
💋	128139	1F48B	
💌	128140	1F48C	
💍	128141	1F48D	
💎	128142	1F48E	
💏	128143	1F48F	
💐	128144	1F490	
💑	128145	1F491	
💒	128146	1F492	
💓	128147	1F493	
💔	128148	1F494	
💕	128149	1F495	
💖	128150	1F496	
💗	128151	1F497	
💘	128152	1F498	
💙	128153	1F499	
💚	128154	1F49A	
💛	128155	1F49B	
💜	128156	1F49C	
💝	128157	1F49D	
💞	128158	1F49E	
💟	128159	1F49F	
💠	128160	1F4A0	
💡	128161	1F4A1	
💢	128162	1F4A2	
💣	128163	1F4A3	
💤	128164	1F4A4	
💥	128165	1F4A5	
💦	128166	1F4A6	
💧	128167	1F4A7	
💨	128168	1F4A8	
💩	128169	1F4A9	
💪	128170	1F4AA	
💫	128171	1F4AB	
💬	128172	1F4AC	
💭	128173	1F4AD	
💮	128174	1F4AE	
💯	128175	1F4AF	
💰	128176	1F4B0	
💱	128177	1F4B1	
💲	128178	1F4B2	
💳	128179	1F4B3	
💴	128180	1F4B4	
💵	128181	1F4B5	
💶	128182	1F4B6	
💷	128183	1F4B7	
💸	128184	1F4B8	
💹	128185	1F4B9	
💺	128186	1F4BA	
💻	128187	1F4BB	
💼	128188	1F4BC	
💽	128189	1F4BD	
💾	128190	1F4BE	
💿	128191	1F4BF	
📀	128192	1F4C0	
📁	128193	1F4C1	
📂	128194	1F4C2	
📃	128195	1F4C3	
📄	128196	1F4C4	
📅	128197	1F4C5	
📆	128198	1F4C6	
📇	128199	1F4C7	
📈	128200	1F4C8	
📉	128201	1F4C9	
📊	128202	1F4CA	
📋	128203	1F4CB	
📌	128204	1F4CC	
📍	128205	1F4CD	
📎	128206	1F4CE	
📏	128207	1F4CF	
📐	128208	1F4D0	
📑	128209	1F4D1	
📒	128210	1F4D2	
📓	128211	1F4D3	
📔	128212	1F4D4	
📕	128213	1F4D5	
📖	128214	1F4D6	
📗	128215	1F4D7	
📘	128216	1F4D8	
📙	128217	1F4D9	
📚	128218	1F4DA	
📛	128219	1F4DB	
📜	128220	1F4DC	
📝	128221	1F4DD	
📞	128222	1F4DE	
📟	128223	1F4DF	
📠	128224	1F4E0	
📡	128225	1F4E1	
📢	128226	1F4E2	
📣	128227	1F4E3	
📤	128228	1F4E4	
📥	128229	1F4E5	
📦	128230	1F4E6	
📧	128231	1F4E7	
📨	128232	1F4E8	
📩	128233	1F4E9	
📪	128234	1F4EA	
📫	128235	1F4EB	
📬	128236	1F4EC	
📭	128237	1F4ED	
📮	128238	1F4EE	
📯	128239	1F4EF	
📰	128240	1F4F0	
📱	128241	1F4F1	
📲	128242	1F4F2	
📳	128243	1F4F3	
📴	128244	1F4F4	
📵	128245	1F4F5	
📶	128246	1F4F6	
📷	128247	1F4F7	
📸	128248	1F4F8	
📹	128249	1F4F9	
📺	128250	1F4FA	
📻	128251	1F4FB	
📼	128252	1F4FC	
📽	128253	1F4FD	
📿	128255	1F4FF	
🔀	128256	1F500	
🔁	128257	1F501	
🔂	128258	1F502	
🔃	128259	1F503	
🔄	128260	1F504	
🔅	128261	1F505	
🔆	128262	1F506	
🔇	128263	1F507	
🔈	128264	1F508	
🔉	128265	1F509	
🔊	128266	1F50A	
🔋	128267	1F50B	
🔌	128268	1F50C	
🔍	128269	1F50D	
🔎	128270	1F50E	
🔏	128271	1F50F	
🔐	128272	1F510	
🔑	128273	1F511	
🔒	128274	1F512	
🔓	128275	1F513	
🔔	128276	1F514	
🔕	128277	1F515	
🔖	128278	1F516	
🔗	128279	1F517	
🔘	128280	1F518	
🔙	128281	1F519	
🔚	128282	1F51A	
🔛	128283	1F51B	
🔜	128284	1F51C	
🔝	128285	1F51D	
🔞	128286	1F51E	
🔟	128287	1F51F	
🔠	128288	1F520	
🔡	128289	1F521	
🔢	128290	1F522	
🔣	128291	1F523	
🔤	128292	1F524	
🔥	128293	1F525	
🔦	128294	1F526	
🔧	128295	1F527	
🔨	128296	1F528	
🔩	128297	1F529	
🔪	128298	1F52A	
🔫	128299	1F52B	
🔬	128300	1F52C	
🔭	128301	1F52D	
🔮	128302	1F52E	
🔯	128303	1F52F	
🔰	128304	1F530	
🔱	128305	1F531	
🔲	128306	1F532	
🔳	128307	1F533	
🔴	128308	1F534	
🔵	128309	1F535	
🔶	128310	1F536	
🔷	128311	1F537	
🔸	128312	1F538	
🔹	128313	1F539	
🔺	128314	1F53A	
🔻	128315	1F53B	
🔼	128316	1F53C	
🔽	128317	1F53D	
🕉	128329	1F549	
🕊	128330	1F54A	
🕋	128331	1F54B	
🕌	128332	1F54C	
🕍	128333	1F54D	
🕎	128334	1F54E	
🕐	128336	1F550	
🕑	128337	1F551	
🕒	128338	1F552	
🕓	128339	1F553	
🕔	128340	1F554	
🕕	128341	1F555	
🕖	128342	1F556	
🕗	128343	1F557	
🕘	128344	1F558	
🕙	128345	1F559	
🕚	128346	1F55A	
🕛	128347	1F55B	
🕜	128348	1F55C	
🕝	128349	1F55D	
🕞	128350	1F55E	
🕟	128351	1F55F	
🕠	128352	1F560	
🕡	128353	1F561	
🕢	128354	1F562	
🕣	128355	1F563	
🕤	128356	1F564	
🕥	128357	1F565	
🕦	128358	1F566	
🕧	128359	1F567	
🕯	128367	1F56F	
🕰	128368	1F570	
🕳	128371	1F573	
🕴	128372	1F574	
🕵	128373	1F575	
🕶	128374	1F576	
🕷	128375	1F577	
🕸	128376	1F578	
🕹	128377	1F579	
🕺	128378	1F57A	
🖇	128391	1F587	
🖊	128394	1F58A	
🖋	128395	1F58B	
🖌	128396	1F58C	
🖍	128397	1F58D	
🖐	128400	1F590	
🖕	128405	1F595	
🖖	128406	1F596	
🖤	128420	1F5A4	
🖥	128421	1F5A5	
🖨	128424	1F5A8	
🖱	128433	1F5B1	
🖲	128434	1F5B2	
🖼	128444	1F5BC	
🗂	128450	1F5C2	
🗃	128451	1F5C3	
🗄	128452	1F5C4	
🗑	128465	1F5D1	
🗒	128466	1F5D2	
🗓	128467	1F5D3	
🗜	128476	1F5DC	
🗝	128477	1F5DD	
🗞	128478	1F5DE	
🗡	128481	1F5E1	
🗣	128483	1F5E3	
🗨	128488	1F5E8	
🗯	128495	1F5EF	
🗳	128499	1F5F3	
🗺	128506	1F5FA	
🗻	128507	1F5FB	
🗼	128508	1F5FC	
🗽	128509	1F5FD	
🗾	128510	1F5FE	
🗿	128511	1F5FF	
😀	128512	1F600	
😁	128513	1F601	
😂	128514	1F602	
😃	128515	1F603	
😄	128516	1F604	
😅	128517	1F605	
😆	128518	1F606	
😇	128519	1F607	
😈	128520	1F608	
😉	128521	1F609	
😊	128522	1F60A	
😋	128523	1F60B	
😌	128524	1F60C	
😍	128525	1F60D	
😎	128526	1F60E	
😏	128527	1F60F	
😐	128528	1F610	
😑	128529	1F611	
😒	128530	1F612	
😓	128531	1F613	
😔	128532	1F614	
😕	128533	1F615	
😖	128534	1F616	
😗	128535	1F617	
😘	128536	1F618	
😙	128537	1F619	
😚	128538	1F61A	
😛	128539	1F61B	
😜	128540	1F61C	
😝	128541	1F61D	
😞	128542	1F61E	
😟	128543	1F61F	
😠	128544	1F620	
😡	128545	1F621	
😢	128546	1F622	
😣	128547	1F623	
😤	128548	1F624	
😥	128549	1F625	
😦	128550	1F626	
😧	128551	1F627	
😨	128552	1F628	
😩	128553	1F629	
😪	128554	1F62A	
😫	128555	1F62B	
😬	128556	1F62C	
😭	128557	1F62D	
😮	128558	1F62E	
😯	128559	1F62F	
😰	128560	1F630	
😱	128561	1F631	
😲	128562	1F632	
😳	128563	1F633	
😴	128564	1F634	
😵	128565	1F635	
😶	128566	1F636	
😷	128567	1F637	
😸	128568	1F638	
😹	128569	1F639	
😺	128570	1F63A	
😻	128571	1F63B	
😼	128572	1F63C	
😽	128573	1F63D	
😾	128574	1F63E	
😿	128575	1F63F	
🙀	128576	1F640	
🙁	128577	1F641	
🙂	128578	1F642	
🙃	128579	1F643	
🙄	128580	1F644	
🙅	128581	1F645	
🙆	128582	1F646	
🙇	128583	1F647	
🙈	128584	1F648	
🙉	128585	1F649	
🙊	128586	1F64A	
🙋	128587	1F64B	
🙌	128588	1F64C	
🙍	128589	1F64D	
🙎	128590	1F64E	
🙏	128591	1F64F	
🚀	128640	1F680	
🚁	128641	1F681	
🚂	128642	1F682	
🚃	128643	1F683	
🚄	128644	1F684	
🚅	128645	1F685	
🚆	128646	1F686	
🚇	128647	1F687	
🚈	128648	1F688	
🚉	128649	1F689	
🚊	128650	1F68A	
🚋	128651	1F68B	
🚌	128652	1F68C	
🚍	128653	1F68D	
🚎	128654	1F68E	
🚏	128655	1F68F	
🚐	128656	1F690	
🚑	128657	1F691	
🚒	128658	1F692	
🚓	128659	1F693	
🚔	128660	1F694	
🚕	128661	1F695	
🚖	128662	1F696	
🚗	128663	1F697	
🚘	128664	1F698	
🚙	128665	1F699	
🚚	128666	1F69A	
🚛	128667	1F69B	
🚜	128668	1F69C	
🚝	128669	1F69D	
🚞	128670	1F69E	
🚟	128671	1F69F	
🚠	128672	1F6A0	
🚡	128673	1F6A1	
🚢	128674	1F6A2	
🚣	128675	1F6A3	
🚤	128676	1F6A4	
🚥	128677	1F6A5	
🚦	128678	1F6A6	
🚧	128679	1F6A7	
🚨	128680	1F6A8	
🚩	128681	1F6A9	
🚪	128682	1F6AA	
🚫	128683	1F6AB	
🚬	128684	1F6AC	
🚭	128685	1F6AD	
🚮	128686	1F6AE	
🚯	128687	1F6AF	
🚰	128688	1F6B0	
🚱	128689	1F6B1	
🚲	128690	1F6B2	
🚳	128691	1F6B3	
🚴	128692	1F6B4	
🚵	128693	1F6B5	
🚶	128694	1F6B6	
🚷	128695	1F6B7	
🚸	128696	1F6B8	
🚹	128697	1F6B9	
🚺	128698	1F6BA	
🚻	128699	1F6BB	
🚼	128700	1F6BC	
🚽	128701	1F6BD	
🚾	128702	1F6BE	
🚿	128703	1F6BF	
🛀	128704	1F6C0	
🛁	128705	1F6C1	
🛂	128706	1F6C2	
🛃	128707	1F6C3	
🛄	128708	1F6C4	
🛅	128709	1F6C5	
🛋	128715	1F6CB	
🛌	128716	1F6CC	
🛍	128717	1F6CD	
🛎	128718	1F6CE	
🛏	128719	1F6CF	
🛐	128720	1F6D0	
🛑	128721	1F6D1	
🛒	128722	1F6D2	
🛠	128736	1F6E0	
🛡	128737	1F6E1	
🛢	128738	1F6E2	
🛣	128739	1F6E3	
🛤	128740	1F6E4	
🛥	128741	1F6E5	
🛩	128745	1F6E9	
🛫	128747	1F6EB	
🛬	128748	1F6EC	
🛰	128752	1F6F0	
🛳	128755	1F6F3	
🛴	128756	1F6F4	
🛵	128757	1F6F5	
🛶	128758	1F6F6	
🛷	128759	1F6F7	
🛸	128760	1F6F8	
🛹	128761	1F6F9	
🛺	128762	1F6FA	
🤐	129296	1F910	
🤑	129297	1F911	
🤒	129298	1F912	
🤓	129299	1F913	
🤔	129300	1F914	
🤕	129301	1F915	
🤖	129302	1F916	
🤗	129303	1F917	
🤘	129304	1F918	
🤙	129305	1F919	
🤚	129306	1F91A	
🤛	129307	1F91B	
🤜	129308	1F91C	
🤝	129309	1F91D	
🤞	129310	1F91E	
🤟	129311	1F91F	
🤠	129312	1F920	
🤡	129313	1F921	
🤢	129314	1F922	
🤣	129315	1F923	
🤤	129316	1F924	
🤥	129317	1F925	
🤦	129318	1F926	
🤧	129319	1F927	
🤨	129320	1F928	
🤩	129321	1F929	
🤪	129322	1F92A	
🤫	129323	1F92B	
🤬	129324	1F92C	
🤭	129325	1F92D	
🤮	129326	1F92E	
🤯	129327	1F92F	
🤰	129328	1F930	
🤱	129329	1F931	
🤲	129330	1F932	
🤳	129331	1F933	
🤴	129332	1F934	
🤵	129333	1F935	
🤶	129334	1F936	
🤷	129335	1F937	
🤸	129336	1F938	
🤹	129337	1F939	
🤺	129338	1F93A	
🤼	129340	1F93C	
🤽	129341	1F93D	
🤾	129342	1F93E	
🥀	129344	1F940	
🥁	129345	1F941	
🥂	129346	1F942	
🥃	129347	1F943	
🥄	129348	1F944	
🥅	129349	1F945	
🥇	129351	1F947	
🥈	129352	1F948	
🥉	129353	1F949	
🥊	129354	1F94A	
🥋	129355	1F94B	
🥌	129356	1F94C	
🥍	129357	1F94D	
🥎	129358	1F94E	
🥏	129359	1F94F	
🥐	129360	1F950	
🥑	129361	1F951	
🥒	129362	1F952	
🥓	129363	1F953	
🥔	129364	1F954	
🥕	129365	1F955	
🥖	129366	1F956	
🥗	129367	1F957	
🥘	129368	1F958	
🥙	129369	1F959	
🥚	129370	1F95A	
🥛	129371	1F95B	
🥜	129372	1F95C	
🥝	129373	1F95D	
🥞	129374	1F95E	
🥟	129375	1F95F	
🥠	129376	1F960	
🥡	129377	1F961	
🥢	129378	1F962	
🥣	129379	1F963	
🥤	129380	1F964	
🥥	129381	1F965	
🥦	129382	1F966	
🥧	129383	1F967	
🥨	129384	1F968	
🥩	129385	1F969	
🥪	129386	1F96A	
🥫	129387	1F96B	
🦀	129408	1F980	
🦁	129409	1F981	
🦂	129410	1F982	
🦃	129411	1F983	
🦄	129412	1F984	
🦅	129413	1F985	
🦆	129414	1F986	
🦇	129415	1F987	
🦈	129416	1F988	
🦉	129417	1F989	
🦊	129418	1F98A	
🦋	129419	1F98B	
🦌	129420	1F98C	
🦍	129421	1F98D	
🦎	129422	1F98E	
🦏	129423	1F98F	
🦐	129424	1F990	
🦑	129425	1F991	
🦒	129426	1F992	
🦓	129427	1F993	
🦔	129428	1F994	
🦕	129429	1F995	
🦖	129430	1F996	
🦗	129431	1F997	
🧀	129472	1F9C0	
🧐	129488	1F9D0	
🧑	129489	1F9D1	
🧒	129490	1F9D2	
🧓	129491	1F9D3	
🧔	129492	1F9D4	
🧕	129493	1F9D5	
🧖	129494	1F9D6	
🧗	129495	1F9D7	
🧘	129496	1F9D8	
🧙	129497	1F9D9	
🧚	129498	1F9DA	
🧛	129499	1F9DB	
🧜	129500	1F9DC	
🧝	129501	1F9DD	
🧞	129502	1F9DE	
🧟	129503	1F9DF	
🧠	129504	1F9E0	
🧡	129505	1F9E1	
🧢	129506	1F9E2	
🧣	129507	1F9E3	
🧤	129508	1F9E4	
🧥	129509	1F9E5	
🧦	129510	1F9E6	
✁	9985	2701	 	UPPER BLADE SCISSORS
✂	9986	2702	 	BLACK SCISSORS
✃	9987	2703	 	LOWER BLADE SCISSORS
✄	9988	2704	 	WHITE SCISSORS
✅	9989	2705	 	WHITE HEAVY CHECK MARK
✆	9990	2706	 	TELEPHONE LOCATION SIGN
✇	9991	2707	 	TAPE DRIVE
✈	9992	2708	 	AIRPLANE
✉	9993	2709	 	ENVELOPE
✊	9994	270A	 	RAISED FIST
✋	9995	270B	 	RAISED HAND
✌	9996	270C	 	VICTORY HAND
✍	9997	270D	 	WRITING HAND
✎	9998	270E	 	LOWER RIGHT PENCIL
✏	9999	270F	 	PENCIL
✐	10000	2710	 	UPPER RIGHT PENCIL
✑	10001	2711	 	WHITE NIB
✒	10002	2712	 	BLACK NIB
✓	10003	2713	 	CHECK MARK
